Date Time (UTC)	Power Setpoint (mW)	Laser Display (mW)	Power Meter Mean (W)	Power Meter Std (W)	Keithley Mean (V)	Keithley Std (V)	Raspberry Mean (ADU)	Raspberry Std (ADU)	ND Filter	AoI (degree)	PD Temp (ºC)	Ambient Temp (ºC)	Ambient RH (%)
3/15/2023 14:48:11 	0.700000000	1.976119041	NaN	-0.000000000	0.005583765	0.000048261	0.375727273	0.004008514	1	6	22.9	23.4	31
3/15/2023 14:48:33 	0.800000000	2.092290163	NaN	-0.000000000	0.006322850	0.000040840	0.425636364	0.003194455	1	6	22.9	23.4	31
3/15/2023 14:48:56 	0.900000000	2.202410698	NaN	-0.000000000	0.007102157	0.000038600	0.478045455	0.004772078	1	6	22.9	23.4	31
3/15/2023 14:49:19 	1.000000000	2.322211981	NaN	-0.000000000	0.007895909	0.000051549	0.537000000	0.003154362	1	6	22.9	23.4	31
3/15/2023 14:49:41 	1.100000000	2.439593315	NaN	-0.000000000	0.008694710	0.000057044	0.588318182	0.005264374	1	6	22.9	23.4	31
3/15/2023 14:50:04 	1.200000000	2.554554224	NaN	-0.000000000	0.009450260	0.000062908	0.637454545	0.004916577	1	6	22.9	23.4	31
3/15/2023 14:50:27 	1.300000000	2.669515371	NaN	-0.000000000	0.010268918	0.000086877	0.694500000	0.006682066	1	6	22.9	23.4	31
3/15/2023 14:50:50 	1.400000000	2.784476280	NaN	-0.000000000	0.011001223	0.000105113	0.748727273	0.005260055	1	6	22.9	23.4	31
3/15/2023 14:51:12 	1.500000000	2.906697989	NaN	-0.000000000	0.011748039	0.000112176	0.796363636	0.004359420	1	6	22.9	23.4	31
3/15/2023 14:51:35 	1.600000000	3.010767937	NaN	-0.000000000	0.012555092	0.000114294	0.850954545	0.005405805	1	6	22.9	23.4	31
